"","AAL","AB","AGL","AL","ALD","ANL","ANT","APS","AZ","BEH","BEO","BLU","BP","BPW","BRB","BRD","BRM","CAL","CDU","CITROPSIS","CLS","CMC","CMG","CMI","CMU","CNS","COG","COM","COS","CP","CPR","CSY","CWI","CYA","CZE","DD","DIA","DPS","DS","DSP","DU","EA","EC","EE","ENA","ENC","ENU","ES","FAA","FAN","FE","FL","FLE","FN","FO","FOV","FSS","FSU","FUA","FUE","FVR","GC","GS","HG","IG","KA","KLG","LM","LMM","LOVOA","LPD","LPM","LT","LYC","MA","MBG","MD","MDI","ME","MEL","MEX","MIE","MIL","ML","MM","MO","MOA","MOL","MP","MRB","MS","MST","MYH","NUETONIA","OB","OUH","PSM","R","R1","RD","RH","RI","SA","SC","SPI","SS","TAF","TD","TH","TN","TO","TRP","TRR","TT","UC","UNK","UNK2","UNKI"
"Unlogged_2_100",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0
"Unlogged_2_110",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,136,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0
"Unlogged_2_120",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,12,0,0,1,0,0,0,1,0,0,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,1,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0
"Unlogged_2_130",0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,19,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,0,0,1,0,79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Unlogged_2_140",0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,0,16,0,0,0,0,1,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0
"Unlogged_2_150",0,0,0,2,0,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,15,0,0,1,0,0,0,0,0,1,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,27,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,3,0,2,0,0,0,10,0,0,0,0,0
"Unlogged_2_160",0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,1,0,1,0,1,0,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
"Unlogged_2_170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,1,1,1,3,0,1,0,0,0,0
"Unlogged_2_180",0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,2,0,0,0,3,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,4,0,76,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,2,0,1,2,2,0,0,0,0
"Unlogged_2_190",0,0,0,0,0,1,0,0,0,3,5,0,1,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,0,1,8,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,24,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,4,0,0,5,2,0,0,0,0,0
